episode,steps,reward,avg_reward_100,alpha,critic_loss,actor_loss,duration
6,91,-479.57,-479.57,0.2520,94.379896,0.000000,10.18
7,354,-312.26,-395.92,0.2505,118.424355,0.000000,28.27
8,810,1107.60,105.25,0.2472,159.349676,0.000000,63.42
9,174,-234.07,20.42,0.2425,138.423307,0.000000,13.67
10,115,-397.27,-63.11,0.2377,148.073681,0.000000,9.16
11,126,-298.68,-102.38,0.2333,101.163892,0.000000,10.18
12,223,-116.88,-104.45,0.2277,114.408451,0.000000,17.58
13,151,-384.62,-139.47,0.2271,153.053681,0.000000,11.86
14,24,-503.30,-179.89,0.2267,76.222597,0.000000,1.92
